Date,Open,High,Low,Close,Volume
2021-04-21,599,599,592,592,38128
2021-04-22,596,598,591,591,33626
2021-04-23,592,602,590,602,27477
2021-04-26,605,610,603,610,30755
2021-04-27,608,611,605,610,26235
2021-04-28,606,608,601,602,23886
2021-04-29,609,609,600,600,31686
2021-05-03,595,597,588,588,41458
2021-05-04,588,594,582,591,40135
2021-05-05,594,594,585,585,28989
2021-05-06,590,590,580,587,30616
2021-05-07,594,600,589,599,27917
2021-05-10,596,597,588,589,20176
2021-05-11,579,580,570,571,59020
2021-05-12,567,571,518,560,131317
2021-05-13,547,563,541,547,66455
2021-05-14,556,562,552,557,38556
2021-05-17,544,558,541,549,57631
2021-05-18,563,573,555,572,44584
2021-05-19,571,572,565,567,29505
2021-05-20,567,571,560,567,30161
2021-05-21,572,577,568,573,27796
2021-05-24,570,572,566,568,15921
2021-05-25,576,584,573,583,33870
2021-05-26,587,588,581,585,19008
2021-05-27,580,582,573,582,62889
2021-05-28,587,592,582,590,29798
2021-05-31,595,597,590,597,31298
2021-06-01,598,599,595,598,18179
2021-06-02,600,600,593,595,22205
2021-06-03,600,600,596,596,21422
2021-06-04,591,595,590,595,16046
2021-06-07,594,595,583,592,17502
2021-06-08,590,595,588,589,13588
2021-06-09,586,588,583,586,20830
2021-06-10,591,599,587,599,29289
2021-06-11,602,603,600,602,24748
2021-06-15,607,609,606,609,25816
2021-06-15,607,609,606,609,25816
2021-06-16,608,608,605,605,26304
2021-06-16,608,608,605,605,26304
2021-06-17,601,606,598,606,23218
2021-06-17,601,606,598,606,23218
2021-06-18,608,608,601,603,32871
2021-06-18,608,608,601,603,32871
2021-06-21,590,594,583,583,47246
2021-06-21,590,594,583,583,47246
2021-06-22,585,588,578,578,29130
2021-06-22,585,588,578,578,29130
2021-06-23,583,598,581,595,34247
2021-06-23,583,598,581,595,34247
2021-06-24,598,598,588,590,16778
2021-06-24,598,598,588,590,16778
2021-06-25,598,598,589,591,19084
2021-06-25,598,598,589,591,19084
2021-06-28,590,590,586,590,15340
2021-06-28,590,590,586,590,15340
2021-06-29,598,598,591,595,29304
2021-06-29,598,598,591,595,29304
2021-06-30,599,599,595,595,24795
2021-06-30,599,599,595,595,24795
2021-07-01,596,597,591,593,18624
2021-07-02,590,593,587,588,18713
2021-07-05,588,597,588,591,29207
2021-07-06,595,596,589,592,13256
2021-07-07,590,594,588,594,17329
2021-07-08,595,595,588,588,21561
2021-07-09,582,585,580,584,30190
2021-07-12,595,597,590,593,31962
